AGNO;RBD;DGV_RBD;NOM_RBD;MRUN;RUT_SOSTENEDOR;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2022;20400;5;COLEGIO KIMEN MONTESSORI; ;76411611;1;13;RM;133;13301;COLINA;137;SANTIAGO NORTE;4;3;0;-33,258093000000000;-70,71997700000000;0;0;10;110;310;0;0;0;0;0;0;0;0;528;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20401;3;ESCUELA BASICA N° 2468, RONALDO MUÑOZ GIBBS; ;65145212;1;13;RM;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;-33,276971390000000;-70,88730439000000;0;0;10;110;0;0;0;0;0;0;0;0;0;392;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20402;1;ESCUELA DEL CARIÑO KIMELTUWE; ;65149625;1;13;RM;134;13402;BUIN;132;SANTIAGO SUR;3;2;0;-33,739616830000000;-70,74443845000000;1;0;165;363;0;0;0;0;0;0;0;0;0;322;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20404;8;ESCUELA DEL CARIÑO SAINT CHRISTIAN; ;65149625;1;13;RM;131;13111;LA GRANJA;132;SANTIAGO SUR;3;2;0;-33,553494000000000;-70,62430950000000;1;0;165;363;0;0;0;0;0;0;0;0;0;572;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20405;6;ESCUELA ESPECIAL DE LENGUAJE NUEVA HABLA PALABRA; ;65155916;1;4;COQ;41;4102;COQUIMBO;41;ELQUI;3;2;0;-29,994360000000000;-71,32546000000001;0;0;214;0;0;0;0;0;0;0;0;0;0;27;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20406;4;CENTRO DE EDUCACION INTEGRADA DE ADULTOS MONSEÑOR ALFREDO SILVA SANTIAGO; ;65178190;1;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;-36,822275000000000;-73,05265300000001;0;0;363;663;0;0;0;0;0;0;0;0;0;87;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20407;2;ESCUELA ESPECIAL DE LENGUAJE Y PRE BASICA ALIWEN; ;65143016;1;4;COQ;41;4101;LA SERENA;41;ELQUI;3;2;0;-29,868827820000000;-71,24052429000000;0;0;214;0;0;0;0;0;0;0;0;0;0;57;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20408;0;ESCUELA ESPECIAL DE LENGUAJE HUELLITAS; ;65155351;1;10;LAGOS;101;10109;PUERTO VARAS;101;LLANQUIHUE;3;2;0;-41,346030000000000;-72,94405000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;77;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20409;9;ESCUELA HOSPITALARIA PUERTO MONTT; ;69220100;1;10;LAGOS;101;10101;PUERTO MONTT;101;LLANQUIHUE;2;1;0;-41,449170000000000;-72,95726000000001;0;0;10;110;310;0;0;0;0;0;0;0;0;74;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20410;2;COLEGIO GENESIS; ;65115713;1;10;LAGOS;103;10303;PURRANQUE;103;OSORNO;3;2;0;-40,910599000000000;-73,16870100000000;1;0;10;110;310;0;0;0;0;0;0;0;0;224;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20411;0;CENTRO DE EDUCACION DE ADULTOS ANDRES BELLO; ;65154959;1;10;LAGOS;103;10301;OSORNO;103;OSORNO;3;2;0;-40,591146780000000;-73,16854551000000;1;0;165;363;0;0;0;0;0;0;0;0;0;98;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20412;9;ESCUELA DIFERENCIAL Y CENTRO DE ATENCION TEMPRANA LIBERTAD; ;65153393;1;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;-36,822000000000000;-73,04241000000000;0;0;216;0;0;0;0;0;0;0;0;0;0;112;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20413;7;ESPECIAL DE LENGUAJE COLORIN COLORADO; ;65145507;1;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;-37,452060000000000;-72,33432000000001;0;0;214;0;0;0;0;0;0;0;0;0;0;67;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20414;5;ESCUELA ESPECIAL DE LENGUAJE BRISTOL; ;65145253;1;8;BBIO;81;8112;HUALPÉN;83;CONCEPCIÓN;3;2;0;-36,780530000000000;-73,11035000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;118;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20416;1;ESCUELA ESPECIAL DE LENGUAJE CREANDO SUEÑOS; ;65124845;1;16;NUBLE;163;16303;ÑIQUÉN;81;ÑUBLE;3;2;0;-36,280182000000000;-71,81412500000000;0;0;110;214;0;0;0;0;0;0;0;0;0;134;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20418;8;ESCUELA ESPECIAL DE LENGUAJE CARACOL; ;76243567;1;8;BBIO;83;8305;MULCHÉN;82;BIOBÍO;3;2;0;-37,721023820000000;-72,25058332000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20419;6;ESCUELA DE PARVILOS N° 2467 LARAPINTA EL SOL; ;65154503;1;13;RM;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;-33,296799999999990;-70,86985000000000;0;0;10;0;0;0;0;0;0;0;0;0;0;59;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20421;8;ESCUELA ESPECIAL DE LENGUAJE TUCAPEL; ;65138862;1;8;BBIO;83;8312;TUCAPEL;82;BIOBÍO;3;2;0;-37,289909000000000;-71,95058200000000;0;0;214;0;0;0;0;0;0;0;0;0;0;62;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20422;6;ESCUELA ESPECIAL DE LENGUAJE ESPERANZA; ;65145589;1;8;BBIO;83;8303;CABRERO;82;BIOBÍO;3;2;0;-37,084140000000000;-72,43351000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;30;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20423;4;ECO ESCUELA QUPA YAPU DE TRASTORNOS ESPECÍFICOS DEL LENGUAJE; ;65118586;1;3;ATCMA;31;3101;COPIAPÓ;31;COPIAPÓ;3;2;0;-27,356640000000000;-70,34770000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;57;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20424;2;ESCUELA ESPECIAL DE LENGUAJE Y ESCUELA BASICA MY COLLEGE; ;65145289;1;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;3;2;0;-36,631908000000000;-72,03502700000000;1;0;10;110;214;310;0;0;0;0;0;0;0;971;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20425;0;COLEGIO EDUCRECE; ;65155623;1;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;3;2;0;-33,044418270000000;-71,45860639000000;0;0;212;0;0;0;0;0;0;0;0;0;0;63;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20426;9;ESCUELA BASICA N° 2469 COLEGIO NEHUEN; ;65122496;1;13;RM;133;13302;LAMPA;137;SANTIAGO NORTE;3;2;0;-33,293140000000000;-70,88567999999999;0;0;10;110;0;0;0;0;0;0;0;0;0;216;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20427;7;ESCUELA BASICA ÑIPAS; ;69150300;1;16;NUBLE;162;16206;RANQUIL;81;ÑUBLE;2;1;0;-36,605869000000000;-72,53370700000001;1;0;10;110;0;0;0;0;0;0;0;0;0;229;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20428;5;ESCUELA DE PAVULOS N°2471 ESCUELA PRE ESCOLAR CANTAGALLO; ;76328035;1;13;RM;131;13115;LO BARNECHEA;133;SANTIAGO ORIENTE;4;3;0;-33,366729999999990;-70,50989000000000;0;0;10;0;0;0;0;0;0;0;0;0;0;522;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20429;3;ESCUELA ESPECIAL N° 2470 ÁRBOL DE COLORES; ;65137956;1;13;RM;131;13112;LA PINTANA;136;CORDILLERA;3;2;0;-33,594890000000000;-70,61284999999999;0;0;214;0;0;0;0;0;0;0;0;0;0;176;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2022;20430;7;ESCUELA ESPECIAL DE LENGUAJE PEUMAYEN; ;65145879;1;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;3;2;0;-36,963340000000000;-73,14993000000000;0;0;214;0;0;0;0;0;0;0;0;0;0;29;1;1;9; ;SIN INFORMACION;SIN INFORMACION
