AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2021;1863;5;COLEGIO GENERAL JOSE VELASQUEZ BORQUEZ;2;1;0;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;24;40;64;0;172;181;353;0;0;0;0;0;0;0;0;67;75;142;40;29;69;53;81;134;0;0;0;356;406;0;762;2;11;0;0;4;2;8;0;27;0;0;0
2021;1864;3;COMPLEJO EDUCACIONAL SARGENTO ALDEA;2;1;0;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;39;24;63;0;138;156;294;0;0;0;0;0;0;0;0;25;47;72;37;22;59;178;89;267;0;0;0;417;338;0;755;2;8;0;0;4;2;14;0;30;0;0;0
2021;1867;8;ESCUELA LA GREDA;2;1;1;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;29;16;45;0;131;93;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;109;0;269;2;8;0;0;0;0;0;0;10;0;0;0
2021;1868;6;ESCUELA LA CHOCOTA;2;1;0;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;27;32;59;0;124;119;243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;151;0;302;2;8;0;0;0;0;0;0;10;0;0;0
2021;1869;4;ESCUELA LOS MAQUIS;2;1;1;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;0;0;0;0;6;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;12;0;0;0;0;0;0;0;0;0;0;1;1
2021;1870;8;ESCUELA CAMPICHE;2;1;1;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;9;15;24;0;33;41;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;56;0;98;0;0;0;0;0;0;0;0;0;1;3;4
2021;1871;6;ESCUELA BASICA EL RINCON;2;1;1;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;12;15;27;0;44;29;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;44;0;100;0;2;0;0;0;0;0;0;2;1;2;3
2021;1872;4;ESCUELA BASICA LA CANELA;2;1;1;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;2;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;1873;2;ESCUELA HORCON;2;1;0;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;21;13;34;0;109;78;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;91;0;221;2;8;0;0;0;0;0;0;10;0;0;0
2021;1874;0;ESCUELA BASICA LA LAGUNA;2;1;0;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;11;11;22;0;37;35;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;46;0;94;0;8;0;0;0;0;0;0;8;1;0;1
2021;1875;9;ESCUELA MAITENCILLO;2;1;0;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;15;18;33;0;82;74;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;92;0;189;2;8;0;0;0;0;0;0;10;0;0;0
2021;1876;7;ESCUELA BASICA LA QUEBRADA;2;1;1;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;0;0;0;0;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;4;0;2;0;0;0;0;0;0;2;0;1;1
2021;1877;5;ESCUELA PUCALAN;2;1;1;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;0;0;0;0;12;9;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;9;0;21;0;0;0;0;0;0;0;0;0;0;1;1
2021;1878;3;ESCUELA BASICA EL RUNGUE;2;1;1;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;1;0;20;16;36;0;45;32;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;48;0;113;2;2;0;0;0;0;0;0;4;0;2;2
2021;1879;1;ESCUELA LOS MAITENES;2;1;1;5;VALPO;51;5105;PUCHUNCAVÍ;53;VALPARAÍSO;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;1880;5;COLEGIO INDUSTRIAL ANDRES BELLO LOPEZ;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227;45;272;0;0;0;227;45;0;272;0;0;0;0;0;0;11;0;11;0;0;0
2021;1881;3;COLEGIO LUIS CRUZ MARTÍNEZ;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;18;23;41;0;221;212;433;0;0;0;0;0;0;0;0;73;73;146;0;0;0;0;0;0;0;0;0;312;308;0;620;2;13;0;0;4;0;0;0;19;0;0;0
2021;1882;1;LICEO GUILLERMO GRONEMEYER ZAMORANO;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;0;0;0;0;11;10;21;0;0;0;0;0;0;0;0;160;212;372;0;0;0;0;0;0;0;0;0;171;222;0;393;0;1;0;0;15;0;0;0;16;0;0;0
2021;1884;8;LICEO COMERCIAL ALEJANDRO LUBET V;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;32;63;235;172;407;31;75;106;297;279;0;576;0;0;0;0;0;2;16;5;23;0;0;0
2021;1885;6;COLEGIO CAPITAN IGNACIO CARRERA PINTO;1;1;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;4;6;10;0;54;27;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;33;0;91;2;8;0;0;0;0;0;0;10;0;0;0
