AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;N_ASIS;N_HOMBRES;N_MUJERES;N_PROF;N_PARA;N_AUX;N_ADMIN;N_TEC;N_SIN_DATO;JORN_PROF;JORN_PARA;JORN_AUX;JORN_ADMIN;JORN_TEC;JORN_SIN_DATO;TOT_JORN
2021;18021;1;ESCUELA DIEGO PORTALES PALAZUELOS;8;BBIO;83;8313;YUMBEL;82;BIOBÍO;2;1;0;1;30;8;22;8;18;4;0;0;0;242;723;176;0;0;0;1141
2021;18023;8;CENTRO EDUCACIÓN INTEGRAL ADULTOS PADRE CARLOS PUENTES FIGUEROA;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;18024;6;ESCUELA ESPECIAL DE DISCAPACIDAD AUDITIVA Y TRASTORNOS GRAVES DE LA COMUNICACIÓN HÁBLAME DE AMOR;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;1;10;0;10;4;5;1;0;0;0;58;220;44;0;0;0;322
2021;18025;4;ESCUELA DE LENGUAJE MAR AZUL;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;3;2;0;1;7;0;7;3;4;0;0;0;0;41;170;0;0;0;0;211
2021;18026;2;ESCUELA DE LENGUAJE SAN SEBASTIAN;8;BBIO;83;8313;YUMBEL;82;BIOBÍO;3;2;0;1;12;2;10;2;9;1;0;0;0;88;396;44;0;0;0;528
2021;18027;0;ESCUELA DE LENGUAJE TIMONEL;8;BBIO;81;8102;CORONEL;83;CONCEPCIÓN;3;2;0;1;7;1;6;3;0;1;1;2;0;56;0;28;25;88;0;197
2021;18028;9;COLEGIO CIUDAD EDUCATIVA;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;3;2;0;1;41;11;30;8;24;9;0;0;0;358;1080;404;0;0;0;1842
2021;18029;7;ESCUELA DE LENGUAJE SANTA MARIETTA;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;3;2;0;1;6;0;6;1;4;1;0;0;0;32;176;44;0;0;0;252
2021;18030;0;ESCUELA DE LENGUAJE CICEL;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;1;7;1;6;3;3;1;0;0;0;59;132;44;0;0;0;235
2021;18031;9;ESCUELA DE LENGUAJE FLORIDA;8;BBIO;81;8104;FLORIDA;83;CONCEPCIÓN;3;2;0;1;8;2;6;3;4;1;0;0;0;26;138;45;0;0;0;209
2021;18032;7;CENTRO DE CAPACITACIÓN LABORAL EDUCACIÓN ESPECIAL PAULO FREIRE;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;1;7;0;7;2;0;2;1;2;0;40;0;88;44;84;0;256
2021;18033;5;JARDIN INFANTIL MINIMUNDO;8;BBIO;83;8313;YUMBEL;82;BIOBÍO;3;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;18034;3;COLEGIO SOUTHERN COLLEGE;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;3;2;0;1;29;9;20;7;0;3;10;9;0;254;0;128;440;392;0;1214
2021;18035;1;COLEGIO SAN AGUSTIN;16;NUBLE;162;16201;QUIRIHUE;81;ÑUBLE;3;2;0;1;30;11;19;6;0;7;7;10;0;177;0;284;265;422;0;1148
