RBD;DV_RBD;NOM_RBD;RBD_A1;RBD_A2;COD_DEPE;COD_DEPE2;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2020_25;SEL2020_35;SEL
14527;0;KING EDWARD´S SCHOOL 2; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;36,825754;54,5964;77,9;100;84,166667;91,767898;532;59,983792;2;2;3
14531;9;ESC.ESPEC.LENG. MIS NUEVAS PALABRAS; ; ;3;2;5;57;5701;SAN FELIPE;52;LOS ANDES;0; ; ;87,6875;100;96,25;95,250103;551;94,367922;2;2;3
14533;5;COLEGIO CRISTIANO LOS PINOS; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;37,395449;52,99332;64,39;100;32,733333;92,879479;511;56,607998;2;2;3
14534;3;COLEGIO AMANCAY LIMACHE; ; ;3;2;5;58;5802;LIMACHE;51;QUILLOTA;0;38,095769;55,004656;84,13;100;78,083333;94,601044;531;61,260935;2;2;3
14537;8;COLEGIO ADONAY PUKALAN; ; ;3;2;5;54;5401;LA LIGUA;51;QUILLOTA;0;40,770855;51,033049;65,24;100;52,816667;92,934183;532;58,375224;2;2;3
14538;6;COL.SANTO DOMINGO DE GUZMAN; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;54,836886;52,939902;72,005;100;92,583333;93,504811;531;66,633346;2;2;3
14539;4;ESCUELA SANTA INÉS; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0;23,662328;57,255137;87,68;100;60,333333;91,606181;512;55,217326;2;2;3
14541;6;COLEGIO PATRICIO LYNCH; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;55,042604;50,973214;87,71;100;94,5;93,983562;532;67,302247;1;2;1
14542;4;CENTR.ESC.TRAT.DEL LENGUAJE PAIHUEN; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0; ; ;79,975;100;67,75;95,250103;551;88,974351;2;2;3
14543;2;ESCUELA DE PARVULOS ITALITO; ; ;3;2;5;58;5802;LIMACHE;51;QUILLOTA;0;42,498843;54,437429;83,845455;100;76;92,875155;511;62,230313;2;2;3
14545;9;COLEGIO MERCEDES LEMUS ZAMORA; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;50,712534;52,877194;60,55;100;72,5;80,138082;531;60,45763;2;2;3
14546;7;ESCUELA RUBEN DARIO; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;34,536533;51,127706;78,08;96,666667;50;88,596575;513;55,703655;2;2;3
14547;5;CENTRO DE ESTUDIOS DALBADIE; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0;36,449839;54,968483;0;100;0;71,301148;533;46,563868;2;2;3
14550;5;ESCUELA DE PARVULOS TIA XIMENA; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;38,8062;54,639341;80,309091;100;77,8;92,875155;512;60,798389;2;2;3
14551;3;ESCUELA DE LENGUAJE LOS ALMENDRALES; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0; ; ;53;100;42,65;92,083506;551;78,773918;2;2;3
14552;1;COLEGIO SAN NICOLAS DE CANAL CHACAO; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;43,178616;55,430281;74,54;100;86,133333;93,054422;532;62,747606;2;2;3
14556;4;COLEGIO AEQUALIS; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;45,529191;53,83111;54,435;100;65,375;87,820596;532;59,773892;2;2;3
14557;2;CTRO DE ESTIMULACION TEMPRANA LAS ROSAS; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0; ; ;100;100;100;100;551;100;1;2;1
14559;9;ESCUELA ESPECIAL LOURDES; ; ;3;2;5;51;5107;QUINTERO;53;VALPARAÍSO;0; ; ;80,175;100;86,5;100;551;94,672857;2;1;2
14561;0;ESCUELA DE PARVULOS SOL NACIENTE; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;38,8062;54,639341;0;96,666667;0;92,875155;512;52,023177;2;2;3
14565;3;VERDOYHAM SCHOOL; ; ;3;2;5;57;5703;LLAILLAY;52;LOS ANDES;0;45,919144;56,973702;80,09;100;94,4;91,145885;532;64,520215;2;2;3
14568;8;COLEGIO CRISTO REY SALVADOR; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0;45,203393;52,579795;88,19;100;90;95,404943;532;64,228085;2;2;3
14569;6;ESCUELA DEL LENGUAJE NACAREL; ; ;3;2;5;56;5605;EL TABO;54;SAN ANTONIO;0; ; ;61,4;100;35,65;95,250103;551;81,204351;2;2;3
14572;6;ESC.ESPECIAL DE LENGUAJE PALABRITAS; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0; ; ;69,6875;100;57,9;92,083506;551;83,813204;2;2;3
14573;4;ESC. RURAL PARA EL CAJON DE SAN PEDRO; ; ;3;2;5;55;5501;QUILLOTA;51;QUILLOTA;1;21,845015;54,725847;0;100;0;91,04492;522;45,435775;2;2;3
14577;7;CTRO.EDUC.Y ATENC INTEG A LA DIVERSIDAD; ; ;3;2;5;54;5401;LA LIGUA;51;QUILLOTA;0; ; ;91,8;100;86,5;100;551;96,665714;1;2;1
14578;5;ESC.TRAST.DE LA COM. Y LENG. LAS VIOLETAS; ; ;3;2;5;53;5301;LOS ANDES;52;LOS ANDES;0; ; ;71,975;100;69,5;95,250103;551;87,852922;2;2;3
14580;7;COLEGIO BOSTON; ; ;3;2;5;58;5804;VILLA ALEMANA;53;VALPARAÍSO;0;46,76929;53,491621;75,41;100;78,166667;92,01873;531;62,959345;2;2;3
14583;1;ESCUELA DE PARVULOS CLARITO DE SOL; ; ;3;2;5;55;5506;NOGALES;51;QUILLOTA;0;38,8062;54,639341;78,490909;100;64,2;92,875155;512;60,009298;2;2;3
14587;4;COLEGIO CUMBRES DE LLAY LLAY; ; ;3;2;5;57;5703;LLAILLAY;52;LOS ANDES;0;41,996307;50,143893;86,49;100;68,5;92,704167;511;60,58824;2;2;3
14588;2;ESCUELA DE TRAST. DE LENGUAJE CELAN PAICAVÝ; ; ;3;2;5;53;5301;LOS ANDES;52;LOS ANDES;0; ; ;80,20625;100;84;100;551;94,321072;2;2;3
14589;0;COLEGIO TRAST.DE LA COMUNIC MATICES; ; ;3;2;5;53;5301;LOS ANDES;52;LOS ANDES;0; ; ;94;100;95;95,250103;551;95,271494;2;1;2
14592;0;COLEGIO DE ADULTOS FRITZ ENCALADA; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;45,529191;53,83111;65,415;100;52,5;71,44414;532;56,186122;2;2;3
14593;9;COLEGIO VALLE DE ARAUCO; ; ;3;2;5;55;5502;CALERA;51;QUILLOTA;0;36,860446;51,748421;0;90;0;93,277117;512;50,448889;2;2;3
14594;7;COLEGIO QUILLOTA TERRANOVA; ; ;3;2;5;55;5501;QUILLOTA;51;QUILLOTA;0;50,370113;49,447859;96,58;100;78,083333;95,619403;531;65,217578;2;2;3
14599;8;COLEGIO POETA DANIEL DE LA VEGA; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;48,357587;49,275529;86,2;100;96,666667;91,719324;531;63,87304;2;2;3
14601;3;COLEGIO SPEIRO; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;43,009736;55,638757;58,97;100;26,666667;94,533994;511;59,161466;2;2;3
14602;1;COLEGIO SIGLO XXI; ; ;3;2;5;58;5801;QUILPUÉ;53;VALPARAÍSO;0;51,536882;59,078023;87,42;100;78,333333;95,431194;511;67,767222;1;2;1
14605;6;COLEGIO VILLA ACONCAGUA; ; ;3;2;5;51;5103;CONCÓN;53;VALPARAÍSO;0;56,348101;57,475422;89,645455;100;100;92,454599;532;69,660655;1;2;1
14606;4;COLEGIO PUERTO PAZ; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;37,228512;54,218137;0;100;0;92,213954;532;51,242698;2;2;3
14608;0;COLEGIO JUANITA FERNANDEZ; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;40,232109;48,28711;95,37;100;88,5;95,106634;532;61,476931;2;2;3
14609;9;COLEGIO CARDENAL OVIEDO; ; ;3;2;5;51;5101;VALPARAÍSO;53;VALPARAÍSO;0;45,529191;53,83111;53,733333;100;31,666667;22,88641;532;43,760855;2;2;3
14614;5;COLEGIO VEDRUNA; ; ;3;2;5;57;5701;SAN FELIPE;52;LOS ANDES;0;58,102189;51,30842;84,87;100;92,85;93,386009;531;68,14379;1;2;1
14616;1;COLEGIO LOS PRINCIPES; ; ;3;2;5;51;5109;VIÑA DEL MAR;53;VALPARAÍSO;0;37,983038;54,689517;0;100;0;94,117342;512;52,072604;2;2;3
14622;6;COLEGIO SAN AGUSTIN; ; ;3;2;5;58;5804;VILLA ALEMANA;53;VALPARAÍSO;0;46,394531;55,76252;73,77;100;79,583333;88,718637;531;62,702949;2;2;3
14625;0;CENTRO DE ESTUDIOS IGNACIO DOMEYKO; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0;36,449839;54,968483;61,15;100;30,75;76,183643;533;52,844517;2;2;3
14626;9;COLEGIO ARAUCARIAS; ; ;3;2;5;56;5601;SAN ANTONIO;54;SAN ANTONIO;0;28,150399;50,352135;75,24;100;68,716667;92,634448;532;54,844057;2;2;3
