agno,region,ingre_medio,inter_inf,inter_sup,calidad
2021,13,780453.8696408039,738022.9039163981,822884.8353652097,fiable
2021,6,567720.7629422732,472313.3159624777,663128.2099220686,fiable
2021,7,534284.0506048152,500519.6689545119,568048.4322551186,fiable
2021,16,543780.0317007407,487276.2174240573,600283.8459774242,fiable
2021,8,574945.7762604392,549278.7527762596,600612.7997446188,fiable
2021,9,533857.7542753723,483901.3021816184,583814.2063691261,fiable
2021,14,576429.8618669838,535287.9262654918,617571.7974684759,fiable
2021,10,552445.3188502342,521924.9787158868,582965.6589845816,fiable
2021,11,748997.6205116806,679694.3774601126,818300.8635632487,fiable
2021,12,844329.384338527,758576.4863864998,930082.2822905541,fiable
