RBD,NOM_RBD,DOCENTES
452,ESCUELA GABRIELA MISTRAL,28
453,ESCUELA IGNACIO CARRERA PINTO,40
454,ESCUELA GREGORIO CASTILLO MARÍN,60
455,ESCUELA REPÚBLICA DE LOS ESTADOS UNIDOS,30
456,ESCUELA EDUCACIÓN DIFERENCIAL LUIS IRIARTE IRIARTE,24
458,ESCUELA ARTURO PÉREZ CANTO,28
459,ESCUELA BÁSICA ESPAÑA,39
461,ESCUELA LUIS CRUZ MARTÍNEZ,29
462,ESCUELA JOSÉ CAROCA LAFLOR,23
463,ESCUELA BÁSICA ROBERTO CUADRA ALQUINTA,13
464,ESCUELA BÁSICA GUALBERTO KONG FERNÁNDEZ,47
467,ESCUELA HERNÁN ARAVENA CONTRERAS,3
468,ESCUELA BÁSICA IGNACIO FRANCO GALLO,5
469,ESCUELA BÁSICA JUSTINO LEIVA AMOR,5
471,ESCUELA BÁSICA SARA BEMBOW VILLEGAS,9
476,ESCUELA BÁSICA SOR TERESA DE LOS ANDES,10
478,LICEO SANTA MARTA,40
479,LICEO SAN FRANCISCO,35
481,ESCUELA BÁSICA ALEJANDRO NOEMI HUERTA,34
482,ESCUELA FORTUNATO SOZA RODRÍGUEZ,3
483,ESCUELA SAMUEL E. CASTILLO LOPEZ,4
484,ESCUELA DE MAITENCILLO,8
485,ESCUELA BÁSICA YERBAS BUENAS,2
486,LICEO JAPÓN,33
487,ESCUELA BÁSICA JOSÉ MIGUEL CARRERA,42
489,ESCUELA EL OLIVAR,32
490,ESCUELA PABLO NERUDA,4
492,COLEGIO PARTICULAR ENGLISH COLLEGE,14
493,ESCUELA EDUCADOR ARTURO ALVEAR RAMOS,16
495,ESCUELA AGLADE MARÍN VARGAS,4
496,ESCUELA DE CHOLLAY,1
497,ESCUELA DE LA PAMPA,1
499,ESCUELA RICARDO CAMPILLAY CONTRERAS,28
502,ESCUELA DE LAS MARQUESAS,1
503,ESCUELA DE LAS BREAS,1
504,ESCUELA GABRIELA MISTRAL,1
514,ESCUELA DE EL CORRAL,3
516,LICEO GABRIELA MISTRAL DE LA SERENA,31
517,LICEO GREGORIO CORDOVEZ,34
518,LICEO TECNICO MARTA BRUNET,29
519,COLEGIO ARTURO PRAT CHACON,51
521,COLEGIO VICTOR DOMINGO SILVA,36
522,COLEGIO JAVIERA CARRERA,32
523,ESCUELA ALONSO DE ERCILLA,31
525,COLEGIO JAPON,30
526,COLEGIO JOSE MANUEL BALMACEDA,29
